JIB_PACIJENTA,IME,PREZIME,ADRESA,JMBG,DATUM_RODJ,POL,BRACNO_STANJE,DATUM_PRIJEMA,BROJ_TEL_RODJAKA,BROJ_TEL_DR_OPSTE_PRAKSE,SRODSTVO_SOS_SA_PACIJENTOM
31,Vugdrag,Cetina,"Beleni BB, Brod",2909126414767,9/29/2012,M,neoženjen,7/27/2020,056/480-907,058/214-812,otac
32,Miroje,Mosuroviæ,"Beogradska BB, Foèa",0208556763562,8/2/1955,M,oženjen,7/2/2020,056/480-908,058/214-811,roðak
33,Milijan,Misaljeviæ,"Beogradska BB, Foèa",1807024078400,7/18/2002,M,oženjen,7/28/2020,056/480-926,058/214-813,majka
34,Stanivoje,Nièiæ,"Beogradska BB, Foèa",2907017468976,7/29/2001,M,oženjen,7/26/2020,056/482-015,058/214-817,rodica
35,Kostadin,Blagovèanin,"Beogradska BB, Foèa",1602124919122,2/16/2012,M,neoženjen,7/27/2020,056/482-015,058/214-817,majka
36,Grujica,Milidragoviæ,"Bijelo Polje bb, Miliæi",2303496996746,3/23/1949,M,oženjen,7/9/2020,056/482-074,056/211-101,roðak
37,Sava,Medar,"Bijelo Polje bb, Miliæi",0602639697189,2/6/1963,M,oženjen,7/3/2020,056/482-077,056/211-101,roðak
38,Sredoja,Spremiæ,"Bileæki Put 32, Trebinje",1909611896702,9/19/1961,M,oženjen,7/22/2020,056/482-080,+387 59 261-350,roðak
39,Dragovan,Jokièiæ,"Birèanska bb, Miliæi",0603441763371,3/6/1944,M,oženjen,7/25/2020,056/482-081,056/211-100,rodica
40,Vuilo,Baraèanin,"Bjeloševac BB, Bijeljina",2906666871199,6/29/1966,M,oženjen,8/1/2020,056/482-083,055/416-019,rodica
41,Teodosije,Adam,"Bogutovaèka 15, Ugljevik",0109805047014,9/1/1980,M,oženjen,7/17/2020,056/482-092,055/416-019,roðak
42,Željko,Miroševiæ,"Borija BB, Kalinovik",1602085382651,2/16/2008,M,neoženjen,7/2/2020,056/482-093,057/340-169,roðak
43,Martin,Jonoviæ,"Božanoviæi BB, Kalinovik",2402551560431,2/24/1955,M,oženjen,7/27/2020,056/482-163,057/340-169,roðak
44,Drakša,Iliševiæ,"Božanoviæi BB, Kalinovik",0912168486471,12/9/2016,M,neoženjen,7/19/2020,056/482-164,057/340-169,otac
45,Srboslav,Vilovaèki,"Božanoviæi BB, Kalinovik",1605925829848,5/16/1992,M,oženjen,7/1/2020,056/482-168,057/340-169,roðak
46,Daroslav,Tamindžiæ,"Braæe Jeremiæa BB, Foèa",0212009437998,12/2/2000,M,oženjen,7/22/2020,056/482-169,058/214-817,roðak
47,Ninko,Aguridiæ,"Braæe Jugoviæ BB, Zvornik",1703989565953,3/17/1998,M,oženjen,7/11/2020,056/482-176,056/211-102,roðak
48,Jagoš,Miskin,"Braæe Jugoviæa BB, Zvornik",1106843817716,6/11/1984,M,oženjen,7/15/2020,056/482-225,056/211-111,roðak
49,Nenad,Kojèinoviæ,"Branka Æopiæa BB, Foèa",0507719140965,7/5/1971,M,oženjen,7/21/2020,056/482-226,058/214-817,roðak
50,Borko,Crepuljareviæ,"Branka Æopiæa BB, Foèa",1906942869961,6/19/1994,M,oženjen,7/6/2020,056/482-237,058/214-817,roðak
51,Sreten,Karèiæ,"Branka Æopiæa BB, Foèa",2007491182300,7/20/1949,M,udovac,7/8/2020,056/482-242,058/214-817,roðak
52,Golub,Nediæ,"Bratunac BB, Bratunac",3005534566276,5/30/1953,M,oženjen,7/29/2020,056/482-243,056/490-419,roðak
53,Justin,Aškrabiæ,"Bratunac BB, Bratunac",2201136764477,1/22/2013,M,neoženjen,7/14/2020,056/482-244,056/490-417,majka
54,Cvetiša,Ercegovac,"Bratunac Ježestica/BB, Bratunac",1808043074321,8/18/2004,M,oženjen,7/29/2020,056/482-248,056/490-417,stric
55,Dabiša,Gligorin,"Bratunac Kravica/BB, Bratunac",0405902098798,5/4/1990,M,oženjen,7/30/2020,056/482-313,056/490-417,roðak
56,Vuèiæ,Durleviæ,"Bratunac Kravica/BB, Bratunac",0604178964260,4/6/2017,M,neoženjen,7/14/2020,056/482-340,056/490-417,otac
57,Svetibor,Toškoviæ,"Bratunac BB, Bratunac",1809094675429,9/18/2009,M,neoženjen,7/10/2020,056/482-435,056/490-417,majka
58,Isidor,Vujèetiæ,"Brðani BB, Bijeljina",0412714812305,12/4/1971,M,oženjen,7/23/2020,056/482-464,055/416-016,roðak
59,Jug,Biberoviæ,"Brod BB, Brod",2602092184372,2/26/2009,M,neoženjen,7/23/2020,056/482-468,058/214-817,majka
60,Andrej,Gligorijeviæ,"Brod BB, Brod",0510899957792,10/5/1989,M,oženjen,7/16/2020,056/482-510,058/214-817,roðak
61,Vukman,Ludoški,"Brod BB, Brod",2311152195558,11/23/2015,M,neoženjen,7/21/2020,056/211-850,058/214-817,majka
62,Radula,Išvan,"Brusna BB, Foèa",1508383328378,8/15/1938,M,udovac,7/21/2020,056/232-395,058/214-812,roðak
63,Rastislav,Kleverniæ,"Budoši BB, Mosko",1712855710607,12/17/1985,M,oženjen,7/30/2020,056/318-423,+387 59 261-350,roðak
64,Stefan,Sosa,"Bukoviæa BB, Brod",1312574657539,12/13/1957,M,oženjen,7/6/2020,056/212-008,058/214-817,roðak
65,Borislav,Dobriæ,"Bunovi BB, Brod",0507768363865,7/5/1976,M,oženjen,7/16/2020,056/213-977,058/214-817,roðak
66,Velièko,Crnadak,"Èaðavica BB, Bijeljina",0208665420121,8/2/1966,M,oženjen,7/22/2020,056/215-531,055/416-016,sestra
67,Danojlo,Despiæ,Cara Dušana 46,1506533839577,6/15/1953,M,udovac,7/17/2020,056/334-001,055/416-019,roðak
68,Vojislav,Lomas,"Cara Dušana BB, Foèa",2006724228106,6/20/1972,M,oženjen,7/1/2020,056/391-555,058/214-817,roðak
69,Radimir,Sladiæ,"Cara Lazara BB, Foèa",2510409524585,10/25/1940,M,udovac,7/2/2020,056/270-451,058/214-811,roðak
70,Bogoboj,Matijaš,"Cara Lazara BB, Foèa",2008062648644,8/20/2006,M,neoženjen,7/21/2020,056/215-999,058/214-812,majka
71,Živanko,Barièanin,"Cara Lazara BB, Foèa",0506471179637,6/5/1947,M,oženjen,7/7/2020,056/260-099,058/214-817,roðak
72,Bojèeta,Olujiæ,"Cara Lazara BB, Foèa",2712803659286,12/27/1980,M,oženjen,7/29/2020,056/315-243,058/214-817,roðak
73,Cvetašin,Šurbatoviæ,"Cara Lazara BB, Foèa",1012182206396,12/10/2018,M,neoženjen,7/3/2020,056/210-038,058/214-817,otac
74,Tvrtko,Stankov,"Cardacine BB, Bijeljina",1006855950445,6/10/1985,M,oženjen,7/21/2020,056/261-655,055/416-018,roðak
75,Ljubiša,Dobreèeviæ,"Èelopek Ulice, Zvornik",0211372067697,11/2/1937,M,neoženjen,7/25/2020,056/482-382,056/211-102,roðak
76,Bogoboj,Natoševiæ,"Èelopek BB, Zvornik",2912018594921,12/29/2001,M,oženjen,7/2/2020,056/393-172,056/211-111,roðak
77,Živanko,Trišiæ,"Èelopek BB, Zvornik",2405645362173,5/24/1964,M,oženjen,7/5/2020,056/213-258,056/211-111,roðak
78,Oleg,Zmijanoviæ,"Èengiæ BB, Bijeljina",0107428791310,7/1/1942,M,udovac,7/22/2020,056/393-565,055/416-018,roðak
79,Mirèeta,Æeramilac,"Èengiæ BB, Bijeljina",0912103886304,12/9/2010,M,neoženjen,7/15/2020,056/484-177,055/416-018,otac
80,Slaviša,Bobot,"Èengiæ BB, Bijeljina",0904702704683,4/9/1970,M,oženjen,7/17/2020,056/480-736,055/416-019,roðak
81,Vikentije,Vojimiroviæ,"Cerska 10, Trebinje",0511803993878,11/5/1980,M,oženjen,7/4/2020,056/214-183,+387 59 261-353,roðak
82,Vukomir,Ajkoviæ,"Crnjelovo Gornje BB, Bijeljina",3005039745980,5/30/2003,M,oženjen,7/20/2020,056/270-370,055/416-018,roðak
83,Bona,Deliblaæanin,"Crnogorska BB, Gorica",2507626452940,7/25/1962,M,oženjen,7/16/2020,056/318-025,+387 59 261-353,roðak
84,Adrijan,Opsenica,"Danguba BB, Bijeljina",1806053307297,6/18/2005,M,neoženjen,7/25/2020,056/393-422,055/416-016,stric
85,Ninko,Èipliæ,"Dazdarevo BB, Bijeljina",1412901082894,12/14/1990,M,oženjen,7/14/2020,056/376-131,055/416-019,roðak
86,Zvezdan,Putnik,"Dazdarevo BB, Bijeljina",1312725291901,12/13/1972,M,oženjen,7/7/2020,056/260-116,055/416-016,rodica
87,Šujica,Kukavica,"Ðeðevo BB, Brod",1407548623291,7/14/1954,M,oženjen,7/28/2020,056/330-109,058/214-812,rodica
88,Sandro,Vojinoviæ,"Dejtonska BB, Foèa",1105019084626,5/11/2001,M,oženjen,7/3/2020,056/373-111,058/214-817,roðak
89,Zlatko,Bumba,"Ðevanje BB, Ðevanje",0502395724901,2/5/1939,M,udovac,7/14/2020,056/210-910,056/211-102,roðak
90,Ðukan,Seleèanin,"Dijelovi BB, Bijeljina",1303931830151,3/13/1993,M,oženjen,7/7/2020,056/393-320,055/416-016,roðak
91,Jerotije,Beloica,"Ðile bb, Miliæi",2311824095475,11/23/1982,M,oženjen,7/3/2020,056/395-088,056/211-100,roðak
92,Golub,Stanèuloviæ,Dimitrije Tucoviæa 26,1902144355461,2/19/2014,M,neoženjen,7/7/2020,056/330-424,055/416-016,otac
93,Vukaè,Mabetoviæ,Dimitrije Tucoviæa 90,1603753821041,3/16/1975,M,oženjen,7/5/2020,056/261-211,055/416-018,roðak
94,Jug,Kasum,"Dobro Polje BB, Kalinovik",1403196551971,3/14/2019,M,neoženjen,7/13/2020,056/261-502,057/340-169,roðak
95,Ljubodrag,Stranjanac,"Dobro Polje BB, Kalinovik",1005196676527,5/10/2019,M,neoženjen,7/18/2020,056/393-193,057/340-169,roðak
96,Stane,Tovirac,"Dobro Polje BB, Kalinovik",0311475814859,11/3/1947,M,oženjen,7/4/2020,056/211-021,057/340-169,rodica
97,Hranisav,Šobiæ,"Doktora Levija 13, Trebinje",1206671506915,6/12/1967,M,oženjen,7/22/2020,056/488-852,+387 59 261-351,roðak
98,Ðurko,Grobenski,"Doktora Levija Br.1, Trebinje",0111169132954,11/1/2016,M,neoženjen,8/1/2020,056/398-023,+387 59 261-353,roðak
99,Sergej,Bicanoviæ,"Doktora Levija BB, Trebinje",3003627395234,3/30/1962,M,oženjen,7/5/2020,056/318-162,+387 59 261-350,roðak
100,Leonid,Puketa,"Dol BB, Ugljevik",1401608054298,1/14/1960,M,oženjen,7/19/2020,056/270-541,055/416-019,roðak
101,Cvjetoš,Ðomparin,"Dolovi BB, Gorica",2703823167159,3/27/1982,M,oženjen,7/16/2020,056/483-481,+387 59 261-353,roðak
102,Vedran,Neveniæ,"Donja Èaðavica-Novi BB, Bijeljina",0612987656919,12/6/1998,M,oženjen,7/22/2020,056/261-148,055/416-019,roðak
103,Slaðan,Ivanov,"Donje Crnjelovo BB, Bijeljina",1708031443529,8/17/2003,M,oženjen,7/12/2020,056/261-673,055/416-019,roðak
104,Milijas,Èarapiæ,"Donje Crnjelovo BB, Bijeljina",1101081084002,1/11/2008,M,neoženjen,7/18/2020,056/391-181,055/416-016,roðak
105,Bogoslav,Maoduš,"Donje Crnjelovo BB, Bijeljina",2903577880475,3/29/1957,M,oženjen,7/29/2020,056/391-041,055/416-016,roðak
106,Tadija,Lozo,"Donje Podgljivlje BB, Gorica",1011995456037,11/10/1999,M,oženjen,7/27/2020,056/315-150,+387 59 261-350,roðak
107,Joviša,Batanjac,"Donje Podgljivlje BB, Gorica",1510128438755,10/15/2012,M,neoženjen,7/8/2020,056/334-077,+387 59 261-353,rodica
108,Mileta,Bogovaèki,"Donji Brodac BB, Bijeljina",1303381100004,3/13/1938,M,udovac,7/28/2020,056/650-239,055/416-016,roðak
109,Tasa,Karaman,"Donji Brodac BB, Bijeljina",1506071136068,6/15/2007,M,neoženjen,7/10/2020,056/211-600,055/416-016,roðak
110,Rusin,Milivojeviæ,"Donji Brodac BB, Bijeljina",2002629059275,2/20/1962,M,oženjen,7/25/2020,056/310-907,055/416-016,rodica
111,Radimir,Moravac,"Donji Brodac BB, Bijeljina",2311192080798,11/23/2019,M,neoženjen,7/6/2020,056/318-179,055/416-016,roðak
112,Boja,Teovanoviæ,"Donji Dragaljevac BB, Bijeljina",2311538999635,11/23/1953,M,oženjen,8/1/2020,056/215-528,055/416-016,roðak
113,Boin,Miljeviæ,"Dositeja Obradoviæa BB, Bratunac",2704936682729,4/27/1993,M,oženjen,7/6/2020,056/214-618,056/490-417,rodica
114,Radiša,Antoviæ,"Dr.Jovana Cvijiæa BB, Trebinje",1407126729628,7/14/2012,M,neoženjen,7/31/2020,056/214-841,+387 59 261-351,roðak
115,Bojan,Milenoviæ,"Dragaljevac BB, Bijeljina",2509956776577,9/25/1995,M,oženjen,7/12/2020,056/393-127,055/416-016,roðak
116,Dragovan,Ivošev,"Dragaljevac BB, Bijeljina",3105879981233,5/31/1987,M,oženjen,7/28/2020,056/483-834,055/416-016,roðak
117,Miladin,Pešiæ,"Dragoèava BB, Foèa",1710618698157,10/17/1961,M,oženjen,7/13/2020,056/318-259,058/214-817,roðak
118,Rodislav,Vlajoviæ,"Dragojeviæi BB, Foèa",1107834740294,7/11/1983,M,oženjen,7/13/2020,056/318-158,058/214-817,roðak
119,Timotej,Pažin,"Dragojeviæi BB, Foèa",1308457456493,8/13/1945,M,udovac,7/2/2020,056/214-351,058/214-817,roðak
120,Cvijan,Telenta,"Dražin Do BB, Trebinje",0306531763733,6/3/1953,M,oženjen,8/1/2020,056/318-376,+387 59 261-353,rodica
121,Svetoslav,Minèiæ,"Drinjaèa BB, Drinjaèa",1501132873448,1/15/2013,M,neoženjen,7/19/2020,056/411-331,056/211-111,majka
122,Dragiæ,Aæimiæ,"Drinska BB, Bratunac",0307577457478,7/3/1957,M,oženjen,7/8/2020,056/410-907,056/490-417,majka
123,Tasa,Igrutinoviæ,"Drinska BB, Bratunac",2303195726654,3/23/2019,M,neoženjen,7/24/2020,056/465-326,056/490-417,roðak
124,Dragosav,Cvjetanoviæ,"Drinska BB, Bratunac",0212155108145,12/2/2015,M,neoženjen,7/2/2020,056/410-367,056/490-417,roðak
125,Ðenadije,Ðokoviæ,"Dubnica bb, Miliæi",2001006547371,1/20/2000,M,oženjen,7/27/2020,056/410-807,056/211-101,otac
126,Dobrilo,Kakuæa,"Ðurðeviæi 48, Milici",3009412066895,9/30/1941,M,oženjen,7/4/2020,056/412-030,056/211-101,roðak
127,Gvozden,Škodriæ,"Durmitorska BB, Foèa",1907753894535,7/19/1975,M,oženjen,7/31/2020,056/410-703,058/214-813,roðak
128,Hrabar,Josifljeviæ,"Dušana Radoviæa 2 -1, Bijeljina",0202188871858,2/2/2018,M,neoženjen,7/26/2020,056/482-418,055/416-016,rodica
129,Vukota,Dobrojeviæ,Dušana Radoviæa 74,0105363806147,5/1/1936,M,udovac,7/16/2020,056/411-399,055/416-018,roðak
130,Krstimir,Dedoviæ,"Dušanova 14, Trebinje",1701979161502,1/17/1997,M,oženjen,7/12/2020,056/410-419,+387 59 261-352,roðak
131,Milenko,Moraèiæ,"Dušanova 19, Trebinje",2601387905318,1/26/1938,M,oženjen,7/20/2020,056/482-305,+387 59 261-350,roðak
132,Srebren,Lompar,"Dušanova 5, Trebinje",1406155788612,6/14/2015,M,neoženjen,7/29/2020,056/410-882,+387 59 261-351,roðak
133,Vlajko,Mikolinac,"Dvorovi BB, Bijeljina",1907056247724,7/19/2005,M,oženjen,8/1/2020,056/410-450,055/416-019,roðak
134,Tanasije,Stojadinèeviæ,"Dvorovi BB, Bijeljina",0612389283652,12/6/1938,M,oženjen,7/10/2020,056/480-770,055/416-016,roðak
135,Gojko,Kovinjalo,"Gajiæi BB, Bijeljina",3101933022268,1/31/1993,M,oženjen,7/27/2020,056/483-627,055/416-018,roðak
136,Vlada,Dokniæ,"Gataèka BB, Kalinovik",1009979805811,9/10/1997,M,oženjen,7/31/2020,056/410-529,057/340-169,roðak
137,Zdravoljub,Èoèuriæ,"Gataèka BB, Kalinovik",3108512506012,8/31/1951,M,udovac,7/18/2020,056/410-366,057/340-169,roðak
138,Mitar,Vlasonjiæ,"Gataèka BB, Kalinovik",1906184855499,6/19/2018,M,neoženjen,7/29/2020,056/411-054,057/340-169,rodica
139,Goran,Bežaniæ,"Gataèka BB, Kalinovik",1906952670771,6/19/1995,M,oženjen,8/1/2020,056/412-059,057/340-169,roðak
140,Toma,Raviliæ,"Gataèka BB, Kalinovik",0802184348310,2/8/2018,M,neoženjen,7/23/2020,056/411-828,057/340-169,roðak
141,Vukmilj,Stojèetoviæ,"Gataèka BB, Kalinovik",2106484065218,6/21/1948,M,udovac,7/27/2020,056/410-336,057/340-169,majka
142,Miloslav,Rutoviæ,"Gavrila Principa 4, Bratunac",0601109261913,1/6/2010,M,neoženjen,7/6/2020,056/411-359,056/490-417,roðak
143,Genadije,Šapiæ,"Gavrila Principa BB, Bijeljina",3108838088608,8/31/1983,M,oženjen,7/31/2020,056/411-555,055/416-016,rodica
144,Bojadin,Negoiciæ,"Glavièice BB, Donja Pilica",0209613299365,9/2/1961,M,oženjen,7/1/2020,056/480-599,056/211-102,roðak
145,Oliver,Kajganiæ,"Glumina BB, Gušteri",2911023883746,11/29/2002,M,oženjen,7/7/2020,056/410-614,056/211-111,rodica
146,Tomo,Paunoviæ,"Goloèevina bb, Miliæi",0108615709664,8/1/1961,M,oženjen,7/7/2020,056/410-123,056/211-101,rodica
147,Branivoje,Radešiæ,"Goloèevina bb, Miliæi",0505529521434,5/5/1952,M,oženjen,7/14/2020,056/482-431,056/211-101,roðak
148,Gojko,Ðurðevaèki,"Gorica 78, Gorica",0802733716189,2/8/1973,M,oženjen,7/18/2020,056/410-507,+387 59 261-351,roðak
149,Pero,Stojimirov,"Gorica 96, Gorica",0503971772400,3/5/1997,M,oženjen,7/8/2020,056/410-379,+387 59 261-352,roðak
150,Srdan,Ilijin,"Gorica BB, Trebinje",3001534619315,1/30/1953,M,oženjen,7/29/2020,056/410-496,+387 59 261-353,roðak
151,Zvonko,Manasijeviæ,"Gorièko Polje BB, Trebinje",0802728675032,2/8/1972,M,oženjen,7/17/2020,056/411-196,+387 59 261-353,roðak
152,Nastas,Èordašiæ,"Gornja Èaðavica BB, Bijeljina",1802366504112,2/18/1936,M,oženjen,7/2/2020,056/411-095,055/416-018,roðak
153,Vjekoslav,Baraæ,"Gornja Pilica BB, Pilica",1009837754410,9/10/1983,M,oženjen,7/31/2020,056/410-396,056/211-111,roðak
154,Cvetan,Živaljeviæ,"Gornje Crnjelovo BB, Bijeljina",1901436615074,1/19/1943,M,oženjen,7/10/2020,056/410-690,055/416-016,roðak
155,Dobrivoje,Skaluševiæ,"Gornje Police 58, Trebinje",2102844541398,2/21/1984,M,oženjen,7/28/2020,056/410-625,+387 59 261-353,rodica
156,Vid,Vraneš,"Gornje Police BB, Trebinje",3005703491459,5/30/1970,M,oženjen,7/23/2020,056/482-973,+387 59 261-351,rodica
157,Dragiša,Stamatoviæ,"Gornji Zalukovik bb, Miliæi",1506911237850,6/15/1991,M,oženjen,7/20/2020,056/410-493,056/211-101,roðak
158,Beran,Ružièiæ,"Gradac BB, Foèa",1612702585056,12/16/1970,M,oženjen,7/13/2020,056/465-080,058/214-817,roðak
159,Filiman,Bliznakoviæ,"Gradac BB, Foèa",2708828913064,8/27/1982,M,oženjen,7/3/2020,056/410-716,058/214-817,roðak
160,Gradiša,Gadžiæ,"Gradina BB, Kalinovik",1703628579965,3/17/1962,M,oženjen,7/1/2020,056/411-840,057/340-169,roðak
161,Jevrem,Ðerkoviæ,"Gradina BB, Kalinovik",0407025810731,7/4/2002,M,oženjen,7/22/2020,056/410-932,057/340-169,roðak
162,Budimir,Tauz,"Gradina BB, Trebinje",1704065685591,4/17/2006,M,neoženjen,7/22/2020,056/465-152,+387 59 261-353,roðak
163,Jona,Leginoviæ,"Graiseljiæi BB, Kalinovik",0209066657276,9/2/2006,M,neoženjen,7/11/2020,056/410-128,057/340-169,roðak
164,Vladun,Pribiæeviæ,"Grandiæi BB, Tjentište",2409686730028,9/24/1968,M,oženjen,7/27/2020,056/410-454,058/214-813,roðak
165,Njegomir,Zdjelar,"Grbavci BB, Grbavci Gornji",1204988635177,4/12/1998,M,oženjen,7/16/2020,056/480-648,056/211-102,roðak
166,Isailo,Kiprijanoviæ,"Grbavci BB, Grbavci Gornji",2707108188121,7/27/2010,M,neoženjen,7/16/2020,056/465-160,056/211-111,roðak
167,Vukac,Miluroviæ,"Grbavci BB, Zvornik",2808992736328,8/28/1999,M,oženjen,7/20/2020,056/465-300,056/211-111,roðak
168,Dalibor,Povrenoviæ,"Guèine 58, Trebinje",1909426596628,9/19/1942,M,udovac,7/2/2020,056/465-331,+387 59 261-352,roðak
169,Vladko,Povrenoviæ,"Guèine BB, Trebinje",1404051052944,4/14/2005,M,neoženjen,7/13/2020,056/482-971,+387 59 261-350,majka
170,Milivoje,Ganiloviæ,"Guèine BB, Trebinje",0606901308158,6/6/1990,M,oženjen,7/8/2020,056/411-496,+387 59 261-353,žena
171,Cvjetoje,Rekaliæ,"Gušteri BB, Gušteri",2003767350490,3/20/1976,M,oženjen,7/25/2020,056/410-156,056/211-102,roðak
172,Damljan,Cvetinoviæ,"Hasana Kikiæa BB, Foèa",1301051666140,1/13/2005,M,neoženjen,8/1/2020,056/410-852,058/214-817,roðak
173,Grada,Rodiæ,"Hase BB, Bijeljina",1612656204106,12/16/1965,M,neoženjen,7/2/2020,056/410-643,055/416-016,roðak
174,Dmitar,Duvnjak,Hase Novo Naselje,2006968729789,6/20/1996,M,neoženjen,7/26/2020,056/411-958,055/416-018,roðak
175,Neven,Kuriliæ,"Hase-Brijesnica BB, Bijeljina",2805183678960,5/28/2018,M,neoženjen,7/4/2020,056/411-314,055/416-016,roðak
176,Dragorad,Ošiæ,"Herceg Stefana Kosaèe 17, Trebinje",1410542260636,10/14/1954,M,neoženjen,7/7/2020,056/410-537,+387 59 261-351,roðak
177,Marinko,Pavlièiæ,"Herceg Stefana Kosaèe 7, Trebinje",1810017363186,10/18/2001,M,neoženjen,7/8/2020,056/411-483,+387 59 261-350,roðak
178,Stavro,Bujakoviæ,"Herceg Stjepana BB, Brod",0606656632681,6/6/1965,M,neoženjen,7/18/2020,056/465-385,058/214-811,roðak
179,Živan,Stanièkov,"Herceg Stjepana BB, Brod",0806064170874,6/8/2006,M,neoženjen,7/18/2020,056/411-229,058/214-811,roðak
180,Ivan,Paskulov,"Herceg Stjepana BB, Brod",2103054053476,3/21/2005,M,neoženjen,7/8/2020,056/410-091,058/214-817,roðak
181,Stanivoje,Dimèiæ,"Herceg Stjepana BB, Brod",1409473450578,9/14/1947,M,neoženjen,7/15/2020,056/411-248,058/214-817,roðak
182,Milorad,Šoliæ,"Hranèa BB, Bratunac",3007948627314,7/30/1994,M,neoženjen,7/1/2020,056/410-870,056/490-419,roðak
