JIB_ZAPOSLENI,IME,PREZIME,ADRESA,BROJ_TEL,POL,DATUM_RODJ,JMBG,POZICIJA,TIP_UGOVORA,BROJ_RADNIH_SATI,ISPLATA_PLATE,SMJENA
34,Dragoslav,Kozarski,"Zetska Ulica 8, Trebinje",065/339-822,M,11/12/1961,1211616314349,Vozaè,Za stalno,48,Mjeseèno,3
35,Blažen,Tešiæ,"Rakino Brdo BB, Osmaci",065/323-752,M,3/29/1966,2903669732195,Vozaè,Za stalno,48,Mjeseèno,1
36,Obreten,Košnièar,"Osmaci BB, Osmaci",065/234-524,M,3/29/1985,2903858062141,Vozaè,Za stalno,48,Mjeseèno,2
37,Vujeta,Dvorniæ,"Vilièeviæi BB, Vilièeviæi",065/355-287,M,8/21/1960,2108603649814,Vozaè,Za stalno,48,Mjeseèno,3
38,Luka,Zlovariæ,"Žutica BB, Derventa",065/243-490,M,11/20/1967,2011676577115,Vozaè,Za stalno,48,Mjeseèno,1
39,Živomir,Abutoviæ,"Ivan Polje BB, Derventa",065/232-419,M,2/1/1977,0102777136107,Vozaè,Za stalno,48,Mjeseèno,2
40,Milo,Buaè,"Derventa BB, Derventa",065/333-008,M,2/21/1964,2102644823464,Portir,Za stalno,72,Mjeseèno,1
41,Jordan,Vukoliæ,"Lukiæ Polje BB, Derventa",065/323-383,M,12/27/1961,2712612871448,Portir,Za stalno,72,Mjeseèno,2
42,Èedomir,Purkoviæ,"Lukiæ Polje BB, Derventa",065/214-165,M,9/27/1971,2709716252844,Portir,Za stalno,72,Mjeseèno,1
43,Radun,Bilakoviæ,"Ristijeviæi BB, Derventa",065/237-916,M,11/27/1963,2711632239610,Portir,Za stalno,72,Mjeseèno,2
44,Stoin,Radeljeviæ,"Lukavica BB, Lukavica",065/211-042,M,9/7/1981,0709814395617,Portir,Za stalno,72,Mjeseèno,1
45,Junoša,Puljareviæ,"Lukavica BB, Lukavica",065/231-541,M,2/6/1976,0602768126562,Portir,Za stalno,72,Mjeseèno,2
46,Dobromil,Velkanoviæ,"Lukavica BB, Lukavica",065/303-115,M,3/28/1994,2803948546737,Portir,Za stalno,72,Mjeseèno,1
47,Èeda,Belada,"Vukšiæ Polje bb, Miliæi",065/303-113,M,9/17/1974,1709749744085,Portir,Za stalno,72,Mjeseèno,2
48,Dimèo,Takovac,"Vuka Stefanoviæa Karadžiæa S19/5, Miliæi",065/333-365,M,4/9/1966,0904661163996,Portir,Za stalno,72,Mjeseèno,1
49,Borivoj,Aguridiæ,"Solunskih Junaka bb, Miliæi",065/237-253,M,7/15/1960,1507604200561,Portir,Za stalno,72,Mjeseèno,2
50,Ivo,Vijatoviæ,"Vuka Stefanoviæa Karadžiæa S2, Miliæi",065/333-853,M,3/17/1978,1703782556736,Portir,Za stalno,72,Mjeseèno,1
51,Bojko,Žiga,"Moštanice BB, Bratunac",065/215-688,M,2/6/1976,0602765666198,Portir,Za stalno,72,Mjeseèno,2
52,Stamenko,Beženar,"Bratunac BB, Bratunac",065/335-123,M,5/7/1993,0705938311047,Portir,Za stalno,72,Mjeseèno,1
53,Simeon,Lazetiæ,"Smoljeva BB, Bratunac",065/360-089,M,8/21/1976,2108763089188,Portir,Za stalno,72,Mjeseèno,2
54,Vukodrag,Velimiroviæ,"Kravièka BB, Bratunac",065/333-588,M,8/18/1992,1808921729841,Portir,Za stalno,72,Mjeseèno,1
55,Bogoje,Lompar,"Podgradac BB, Bratunac",065/212-360,M,8/1/1993,0108939946442,Portir,Za stalno,72,Mjeseèno,2
56,Vita,Ðoriæ,"Osamsko BB, Bratunac",065/233-184,M,6/5/1960,0506604940491,Portir,Za stalno,72,Mjeseèno,1
57,Gradiša,Kudriæ,"Nemanjina BB, Bratunac",065/351-315,M,6/4/1993,0406932526641,Portir,Za stalno,72,Mjeseèno,2
58,Dragomil,Jezdoviæ,"Drinska BB, Bratunac",065/303-145,M,8/20/1986,2008862543107,Portir,Za stalno,72,Mjeseèno,1
59,Mileš,Brankoviæ,"Moštanice BB, Bratunac",065/236-582,M,5/31/1981,3105817422688,Portir,Za stalno,72,Mjeseèno,2
60,Vujoš,Durkoviæ,"Dubravice BB, Bratunac",065/236-712,M,6/28/1966,2806666249665,Portir,Za stalno,72,Mjeseèno,1
61,Vukmir,Oseæanski,"Jelovaèka BB, Bratunac",065/333-202,M,4/20/1981,2004817798733,Portir,Za stalno,72,Mjeseèno,2
62,Teofan,Zlatanoviæ,"Drinska BB, Bratunac",065/232-596,M,3/11/1970,1103702875185,Portir,Za stalno,72,Mjeseèno,1
63,Kristijan,Medan,"Obala I BB, Bratunac",065/333-364,M,12/13/1987,1312872606024,Portir,Za stalno,72,Mjeseèno,2
64,Jaroslav,Butriæ,"Dubravice BB, Bratunac",065/483-806,M,1/22/1980,2201801757695,Portir,Za stalno,72,Mjeseèno,1
65,Æira,Prelovac,"Osamsko BB, Bratunac",065/482-560,M,10/30/1974,3010741062099,Portir,Za stalno,72,Mjeseèno,2
66,Gligorije,Kaèavenda,"Vreljansko Polje BB, Šekoviæi",065/482-742,M,9/16/1964,1609646034701,Portir,Za stalno,72,Mjeseèno,1
67,Leonid,Kremiæ,"Javor BB, Šekoviæi",065/483-767,M,9/16/1979,1609799275337,Portir,Za stalno,72,Mjeseèno,2
68,Balša,Viæentijeviæ,"Ðure Jakšiæa BB, Šekoviæi",065/483-790,M,6/12/1977,1206773780741,Portir,Za stalno,72,Mjeseèno,1
69,Dobromir,Èekoviæ,"Karaðorðeva BB, Šekoviæi",065/483-242,M,3/10/1973,1003735459067,Portir,Za stalno,72,Mjeseèno,2
70,Straška,Dolinac,"Vreljansko Polje BB, Šekoviæi",065/337-237,M,6/9/1978,0906786129603,Portir,Za stalno,72,Mjeseèno,1
71,Srbislav,Radulac,"Javor BB, Šekoviæi",065/337-293,M,12/15/1973,1512736697624,Portir,Za stalno,72,Mjeseèno,2
72,Mirosav,Abadžija,"Draže Mihajloviæa BB, Šekoviæi",065/324-077,M,7/17/1978,1707783244751,Anasteziolog,Za stalno,48,Mjeseèno,1
73,Manojlo,Antunoviæ,"Rajka Bobara Br.44, Šekoviæi",065/234-038,M,11/1/1994,0111942083754,Ginekolog,Za stalno,48,Sedmièno,1
74,Strahinja,Lukiæ,"Suèani BB, Šekoviæi",065/220-330,M,12/20/1964,2012646518088,Pedijatar,Na odreðeno,48,Sedmièno,3
75,Obren,Èanèareviæ,"Janka Bašiæa BB, Šekoviæi",065/237-383,M,9/26/1980,2609805756302,Specijalista infektologije,Za stalno,48,Sedmièno,1
76,Gal,Šmigiæ,"Kralja Petra I Karaðorðeviæa BB, Šekoviæi",065/211-425,M,8/11/1962,1108623124403,Specijalista infektologije,Na odreðeno,48,Sedmièno,2
77,Samuilo,Velièkov,"Zupci BB, Šekoviæi",065/319-134,M,6/14/1979,1406799341943,Neurohirurg,Na odreðeno,48,Sedmièno,1
78,Trifun,Konjoviæ,"Šekoviæi Brace/Deliæ, Šekoviæi",065/231-292,M,8/26/1966,2608667967332,Neurolog,Na odreðeno,48,Sedmièno,1
79,Žarko,Ljuboja,"Roæeviæ BB, Kozluk",065/214-981,M,4/16/1989,1604891789128,Hirurg,Za stalno,48,Sedmièno,1
80,Kozma,Didanoviæ,"Pantiæi BB, Donji Lokanj",065/360-369,M,4/1/1987,0104871084631,Hirurg,Na odreðeno,48,Sedmièno,2
81,Anðelko,Blagiæ,"Šljunkara BB, Èelopek",065/480-624,M,5/25/1984,2505843453724,Hirurg,Na odreðeno,48,Sedmièno,3
82,Vukadin,Janiæeviæ,"Trnovica BB, Kozluk",065/482-616,M,12/27/1992,2712921974927,Ortoped,Za stalno,48,Sedmièno,1
83,Goroljub,Radušiæ,"Jasenica BB, Kozluk",065/222-206,M,8/28/1994,2808948894038,Pulmnolog,Na odreðeno,48,Sedmièno,1
84,Radoslav,Smoljanoviæ,"Klešiæ BB, Donja Pilica",065/224-484,M,4/14/1963,1404634472891,Psihijatar,Na odreðeno,48,Sedmièno,1
85,Zvonko,Vukenoviæ,"Èelopek BB, Èelopek",065/365-011,M,1/22/1963,2201635755658,Psihijatar,Na odreðeno,48,Sedmièno,2
86,Biljan,Perkoviæ,"Trnovica BB, Trnovica",065/224-154,M,10/28/1975,2810758783102,Onkolog,Na odreðeno,48,Sedmièno,1
87,Vukašin,Ciklušiæ,"Klešiæ BB, Donja Pilica",065/237-446,M,3/31/1981,3103816038349,Onkolog,Na odreðeno,48,Sedmièno,2
88,Ivica,Kuruc,"Karaðorðeva BB, Zvornik",065/365-010,M,11/6/1972,0611726533437,Onkolog,Na odreðeno,48,Sedmièno,3
89,Cvijetin,Crepulja,"Dom BB, Donja Pilica",065/236-069,M,2/17/1966,1702669843437,Radiolog,Za stalno,48,Mjeseèno,1
90,Rastislav,Lukaèeviæ,"Lokanj BB, Gornji Lokanj",065/234-612,M,11/4/1965,0411657009513,Radiolog,Za stalno,48,Mjeseèno,2
91,Momèilo,Èuroviæ,"Šepak Donji BB, Šepak Donji",065/237-316,M,9/9/1982,0909826981760,Radiolog,Za stalno,48,Mjeseèno,3
92,Zvonimir,Anðiæ,"Karakaj BB, Zvornik",065/216-765,M,5/24/1989,2405892665439,Radiolog,Za stalno,48,Mjeseèno,1
93,Jagoš,Dizdareviæ,"Lokanj BB, Gornji Lokanj",065/236-272,M,6/16/1984,1606842572739,Kardiolog,Za stalno,48,Mjeseèno,1
94,Milisav,Jorgoniæ,"Roæeviæ BB, Roæeviæ",065/236-193,M,10/1/1963,0110639494783,Kardiolog,Za stalno,48,Mjeseèno,2
95,Konstantin,Mladžiæ,"Roæeviæ BB, Kozluk",065/236-715,M,5/26/1977,2605771999538,Kardiolog,Za stalno,48,Mjeseèno,3
96,Radmir,Srafijanoviæ,"Jasenica BB, Kozluk",065/323-567,M,6/23/1967,2306676658061,Anasteziolog,Za stalno,48,Mjeseèno,1
97,Živadin,Odadžiæ,"Šepak Srednji BB, Kozluk",065/335-395,M,3/14/1965,1403654577261,Anasteziolog,Za stalno,48,Mjeseèno,1
98,Golub,Rukavina,"Svetozara Kosoriæa 3, Han Pijesak",065/236-502,M,5/1/1989,0105893590411,Anasteziolog,Za stalno,48,Mjeseèno,1
99,Krasimir,Dragomirov,"Željezniæka BB, Han Pijesak",065/215-010,M,11/28/1991,2811916522666,Anasteziolog,Za stalno,48,Mjeseèno,1
100,Radan,Stjepoviæ,"Željezniæka BB, Han Pijesak",065/236-210,M,10/16/1993,1610933538049,Anasteziolog,Za stalno,48,Mjeseèno,1
101,Gligorije,Božanoviæ,"Aleksandra Karaðorðeviæa BB, Han Pijesak",065/323-237,M,12/13/1994,1312941105060,Anasteziolog,Za stalno,48,Mjeseèno,1
102,Boica,Lupoviæ,"Japaga BB, Han Pijesak",065/233-458,M,12/9/1979,0912793636269,Anasteziolog,Za stalno,48,Mjeseèno,1
103,Stjepan,Miodaniæ,"Svetozara Kosoriæa BB, Han Pijesak",065/236-377,M,6/6/1987,0606875615650,Anasteziolog,Za stalno,48,Mjeseèno,1
104,Radulin,Trojanèeviæ,"Vikend Naselje BB, Han Pijesak",065/308-001,M,5/19/1979,1905792129815,Anasteziolog,Za stalno,48,Mjeseèno,1
105,Njegoš,Kotlajiæ,"Aleksandra Karaðorðeviæa 19, Han Pijesak",065/335-159,M,3/12/1974,1203746921003,Anasteziolog,Za stalno,48,Mjeseèno,1
106,Jakša,Kulinèeviæ,"Japaga BB, Han Pijesak",065/335-141,M,12/26/1992,2612928666725,Anasteziolog,Za stalno,48,Mjeseèno,1
107,Rabren,Anðelkoviæ,"Vikend Naselje BB, Han Pijesak",065/236-164,M,1/13/1971,1301716585015,Anasteziolog,Za stalno,48,Mjeseèno,1
108,Miliæ,Biolanoviæ,"Solunskih Dobrovoljaca S10, Han Pijesak",065/308-027,M,10/13/1966,1310668538908,Anasteziolog,Za stalno,48,Mjeseèno,1
109,Miodrag,Vukosavljeviæ,"Solunskih Dobrovoljaca BB, Han Pijesak",065/308-057,M,11/6/1975,0611752280284,Anasteziolog,Za stalno,48,Mjeseèno,1
110,Svetoljub,Šubareviæ,"Svetozara Kosoriæa BB, Han Pijesak",065/308-055,M,12/2/1968,0212685212958,Medicinski brat,Za stalno,48,Mjeseèno,1
111,Budislav,Jasak,"Bukova Glava BB, Han Pijesak",065/237-402,M,6/8/1973,0806735900206,Medicinski brat,Za stalno,48,Mjeseèno,3
112,Gvozden,Tanuševiæ,"Bukova Glava BB, Han Pijesak",065/335-144,M,9/30/1990,3009905418661,Medicinski brat,Za stalno,48,Mjeseèno,1
113,Zdravoljub,Grubaèki,"Svetozara Kosoriæa BB, Han Pijesak",065/344-499,M,4/6/1988,0604888592768,Medicinski brat,Za stalno,48,Mjeseèno,2
114,Goran,Mitiæ,"Rajlovaèka 4, Vojkoviæi, Istoèno Sarajevo",065/344-431,M,11/24/1968,2411687130398,Medicinski brat,Za stalno,48,Mjeseèno,3
115,Nastas,Pletiæ,"Ravnogorska 102, Vojkoviæi, Istoèno Sarajevo",065/344-228,M,8/27/1965,2708655037398,Medicinski brat,Za stalno,48,Mjeseèno,1
116,Utešen,Prvanov,"Slavka Leovca 6, Donje Mladice, Istoèno Sarajevo",065/303-077,M,7/13/1976,1307765983086,Medicinski brat,Za stalno,48,Mjeseèno,2
117,Vojko,Džaleta,"Akademika Petra Mandiæa 8, Dobrinja, Istoèno Sarajevo",065/344-470,M,3/1/1961,0103616242988,Medicinski brat,Za stalno,48,Mjeseèno,3
118,Gradiša,Milojièiæ,"Trg Ilidžanske Brigade Do, Dobrinja, Istoèno Sarajevo",065/347-188,M,10/4/1993,0410932499719,Medicinski brat,Za stalno,48,Mjeseèno,1
119,Stavro,Cicak,"Obrada Popadiæa 22, Donje Mladice, Istoèno Sarajevo",065/337-225,M,4/11/1967,1104678246143,Medicinski brat,Za stalno,48,Mjeseèno,2
120,Velibor,Trobonjaèa,"Trg Ilidžanske Brigade 2c-7, Dobrinja, Istoèno Sarajevo",065/222-237,M,7/20/1983,2007832128129,Medicinski brat,Za stalno,48,Mjeseèno,3
121,Jova,Radujkov,"Akademika Petra Mandiæa 12, Dobrinja, Istoèno Sarajevo",065/323-141,M,4/25/1982,2504828947759,Medicinski brat,Za stalno,48,Mjeseèno,1
122,Novica,Bešlagiæ,"Alekse Šantiæa 13, Donje Mladice, Istoèno Sarajevo",065/236-520,M,6/26/1970,2606708906978,Medicinski brat,Za stalno,48,Mjeseèno,2
123,Vedran,Doljanèeviæ,"Vojvode Radomira Putnika 52 -3, Dobrinja, Istoèno Sarajevo",065/236-357,M,10/1/1977,0110777403598,Medicinski brat,Za stalno,48,Mjeseèno,3
124,Bogoljub,Juroševiæ,"Besarovica 36, Donje Mladice, Istoèno Sarajevo",065/337-280,M,7/8/1975,0807752416936,Medicinski brat,Za stalno,48,Mjeseèno,1
125,Andrija,Vrga,"Dabrobosanska 10, Dobrinja, Istoèno Sarajevo",065/214-741,M,9/29/1986,2909864100180,Medicinski brat,Za stalno,48,Mjeseèno,2
126,Vasil,Zakoviæ,"Dabrobosanska 12, Dobrinja, Istoèno Sarajevo",065/213-585,M,5/17/1987,1705879909597,Medicinski brat,Za stalno,48,Mjeseèno,3
127,Dukadin,Rašèanin,"Mladiæka 29, Dobrinja, Istoèno Sarajevo",065/335-238,M,5/7/1980,0705802929345,Medicinski brat,Za stalno,48,Mjeseèno,1
128,Ognjan,Tripkoviæ,"Srpskih Vladara 27, Dobrinja, Istoèno Sarajevo",065/213-455,M,5/10/1983,1005837651764,Medicinski brat,Za stalno,48,Mjeseèno,2
129,Sever,Goraniæ,"Derokova 68, Donje Mladice, Istoèno Sarajevo",065/337-261,M,1/28/1993,2801935232521,Medicinski brat,Za stalno,48,Mjeseèno,3
130,Bona,Pažinoviæ,"Otadžbinska 8, Dobrinja, Istoèno Sarajevo",065/323-671,M,6/24/1984,2406845658726,Medicinski brat,Za stalno,48,Mjeseèno,1
131,Dobrivoj,Vukajloviæ,"9. Januar 1, Dobrinja, Istoèno Sarajevo",065/213-283,M,5/10/1965,1005653652178,Medicinski brat,Za stalno,48,Mjeseèno,2
132,Vukašin,Anièin,"9. Januar 1, Dobrinja, Istoèno Sarajevo",065/360-324,M,8/22/1971,2208719320202,Medicinski brat,Za stalno,48,Mjeseèno,3
133,Josif,Romanoviæ,"9. Januar 3, Dobrinja, Istoèno Sarajevo",065/237-341,M,6/10/1983,1006834092046,Medicinski brat,Za stalno,48,Mjeseèno,1
134,Darjan,Seleèanin,"Carice Miliæe 18, Dobrinja, Istoèno Sarajevo",065/323-949,M,2/18/1963,1802636048133,Medicinski brat,Za stalno,48,Mjeseèno,2
135,Radimir,Balabanoviæ,"Nikole Tešanoviæa 1a-23, Dobrinja, Istoèno Sarajevo",065/323-396,M,2/28/1961,2802614811539,Medicinski brat,Za stalno,48,Mjeseèno,3
136,Vujèin,Radaljeviæ,"Otadžbinska 5, Dobrinja, Istoèno Sarajevo",065/333-131,M,11/4/1968,0411683957511,Medicinski brat,Za stalno,48,Mjeseèno,2
137,Bogašin,Badriæ,"Akademika Petra Mandiæa 70, Dobrinja, Istoèno Sarajevo",065/333-266,M,8/3/1976,0308767631394,Medicinski brat,Za stalno,48,Mjeseèno,2
138,Joksim,Jovoniæ,"Besarovica 47, Donje Mladice, Istoèno Sarajevo",065/333-308,M,4/2/1994,0204941015041,Medicinski brat,Za stalno,48,Mjeseèno,3
139,Nestor,Garèeviæ,"Trg Ilidžanske Brigade 7, Dobrinja, Istoèno Sarajevo",065/333-276,M,3/28/1965,2803654867233,Medicinski brat,Za stalno,48,Mjeseèno,1
140,Pelagije,Vasiæ,"Srpskih Junaka 5, Vojkoviæi, Istoèno Sarajevo",065/485-518,M,7/7/1992,0707922577575,Medicinski brat,Za stalno,48,Mjeseèno,2
141,Vlaja,Tešiniæ,"Ive Andriæa 19j-20, Dobrinja, Istoèno Sarajevo",065/323-424,M,10/13/1987,1310872728831,Medicinski brat,Za stalno,48,Mjeseèno,3
142,Makarije,Kutlaèa,"Branka Radièeviæa 13a, Dobrinja, Istoèno Sarajevo",065/222-259,M,9/14/1985,1409855670556,Medicinski brat,Za stalno,48,Mjeseèno,1
143,Mališa,Nogavica,"Srpskih Junaka 61, Vojkoviæi, Istoèno Sarajevo",065/237-556,M,5/15/1993,1505937312409,Medicinski brat,Za stalno,48,Mjeseèno,2
144,Dobriša,Kovaèev,"Ravnogorska 29, Dobrinja, Istoèno Sarajevo",065/234-351,M,4/14/1969,1404697513432,Medicinski brat,Za stalno,48,Mjeseèno,3
145,Georgije,Jovac,"Besarovica 36, Donje Mladice, Istoèno Sarajevo",065/370-300,M,5/22/1960,2205605657520,Medicinski brat,Za stalno,48,Mjeseèno,1
146,Radmilo,Pantelin,"Donje Mladice 10, Dobrinja, Istoèno Sarajevo",065/349-054,M,4/25/1977,2504776383459,Medicinski brat,Za stalno,48,Mjeseèno,2
147,Slavomir,Kurtinoviæ,"Ravnogorska BB, Dobrinja, Istoèno Sarajevo",065/236-499,M,10/24/1961,2410617106395,Medicinski brat,Za stalno,48,Mjeseèno,3
148,Ljubomir,Ðordan,"Derokova 15II, Donje Mladice, Istoèno Sarajevo",065/370-318,M,3/5/1988,0503884918963,Medicinski brat,Za stalno,48,Mjeseèno,1
149,Kirjak,Pisaroviæ,"Besarovica 45, Donje Mladice, Istoèno Sarajevo",065/339-622,M,4/26/1991,2604915360513,Medicinski brat,Za stalno,48,Mjeseèno,2
150,Matej,Jakovoviæ,"Trg Kralja Aleksandra 1/2, Dobrinja, Istoèno Sarajevo",065/349-070,M,8/6/1983,0608834586686,Medicinski brat,Za stalno,48,Mjeseèno,3
151,Kristina,Pujoviæ,"Mladiæka 75, Dobrinja, Istoèno Sarajevo",065/355-345,Z,1/10/1968,1001689429236,Glavna sestra,Za stalno,48,Mjeseèno,1
152,Budimirka,Lojanièiæ,"Vojvode Radomira Putnika A, Dobrinja, Istoèno Sarajevo",065/214-043,Z,12/29/1960,2912606221792,Glavna sestra,Za stalno,48,Mjeseèno,1
153,Vukana,Orlandiæ,"Kasindolskog Bataljona 99, Dobrinja, Istoèno Sarajevo",065/231-936,Z,11/23/1986,2311866470879,Glavna sestra,Za stalno,48,Mjeseèno,1
154,Olga,Tuta,"Akademika Petra Mandiæa 20, Dobrinja, Istoèno Sarajevo",065/214-035,Z,11/20/1993,2011933082395,Glavna sestra,Za stalno,48,Mjeseèno,1
155,Blaženka,Ljubojev,"Branka Æopiæa 4, Vojkoviæi, Istoèno Sarajevo",065/233-563,Z,12/4/1963,0412634002150,Glavna sestra,Za stalno,48,Mjeseèno,1
156,Gora,Stanareviæ,"Ravnogorska 55, Dobrinja, Istoèno Sarajevo",065/355-099,Z,7/8/1982,0807821318759,Glavna sestra,Za stalno,48,Mjeseèno,1
157,Stanika,Blešiæ,"Srpskih Vladara 29, Dobrinja, Istoèno Sarajevo",065/323-803,Z,3/23/1987,2303874010393,Glavna sestra,Za stalno,48,Mjeseèno,1
158,Antonia,Kolonja,"Akademika V.Komadine 24, Donje Mladice, Istoèno Sarajevo",065/323-648,Z,6/3/1983,0306836178062,Glavna sestra,Za stalno,48,Mjeseèno,1
159,Agata,Leginoviæ,"Derokova 62, Donje Mladice, Istoèno Sarajevo",065/349-011,Z,10/27/1987,2710877633245,Glavna sestra,Za stalno,48,Mjeseèno,1
160,Rosa,Jorgovanoviæ,"Vojvode Radomira Putnika 34, Dobrinja, Istoèno Sarajevo",065/355-025,Z,9/1/1986,0109862160016,Glavna sestra,Za stalno,48,Mjeseèno,1
161,Ruzmarinka,Jelin,"Srðana Kneževiæa 3, Vojkoviæi, Istoèno Sarajevo",065/339-849,Z,5/21/1960,2105606060414,Glavna sestra,Za stalno,48,Mjeseèno,1
162,Drina,Jaziæ,"Otadžbinska 4, Dobrinja, Istoèno Sarajevo",065/355-307,Z,2/5/1967,0502673758781,Glavna sestra,Za stalno,48,Mjeseèno,1
163,Kosovka,Ogareviæ,"Dabrobosanska 14, Dobrinja, Istoèno Sarajevo",065/355-219,Z,3/29/1974,2903745055826,Glavna sestra,Za stalno,48,Mjeseèno,1
164,Karanfila,Milešev,"Vasilja Grðiæa 82, Dobrinja, Istoèno Sarajevo",065/236-112,Z,5/15/1991,1505917551463,Glavna sestra,Za stalno,48,Mjeseèno,1
165,Pava,Pirkoviæ,"Trg Ilidžanske Brigade 9, Dobrinja, Istoèno Sarajevo",065/335-241,Z,8/6/1983,0608831848108,Glavna sestra,Za stalno,48,Mjeseèno,1
